Date,Open,High,Low,Close,Adj Close,Volume
2013-01-21,0.180000,0.180000,0.115000,0.140000,0.140000,737225
2013-01-22,0.130000,0.150000,0.125000,0.145000,0.145000,241075
2013-01-23,0.145000,0.145000,0.120000,0.125000,0.125000,290925
2013-01-24,0.125000,0.125000,0.120000,0.120000,0.120000,45000
2013-01-25,0.125000,0.125000,0.120000,0.125000,0.125000,20000
2013-01-29,0.120000,0.120000,0.100000,0.100000,0.100000,66500
2013-01-30,0.100000,0.100000,0.100000,0.100000,0.100000,57000
2013-01-31,0.100000,0.100000,0.090000,0.092000,0.092000,425500
2013-02-01,0.091000,0.092000,0.080000,0.080000,0.080000,119888
2013-02-04,0.080000,0.080000,0.074000,0.075000,0.075000,471500
2013-02-05,0.078000,0.078000,0.075000,0.075000,0.075000,179723
2013-02-06,0.075000,0.076000,0.075000,0.075000,0.075000,91000
2013-02-07,0.075000,0.075000,0.075000,0.075000,0.075000,0
2013-02-08,0.076000,0.077000,0.076000,0.076000,0.076000,56448
2013-02-11,0.078000,0.081000,0.078000,0.081000,0.081000,186529
2013-02-12,0.085000,0.087000,0.085000,0.087000,0.087000,42771
2013-02-13,0.090000,0.092000,0.090000,0.092000,0.092000,115000
2013-02-14,0.092000,0.092000,0.087000,0.087000,0.087000,61000
2013-02-15,0.087000,0.087000,0.087000,0.087000,0.087000,25000
2013-02-18,0.087000,0.087000,0.087000,0.087000,0.087000,0
2013-02-19,0.090000,0.120000,0.090000,0.098000,0.098000,553829
2013-02-20,0.125000,0.125000,0.115000,0.115000,0.115000,453140
2013-02-21,0.115000,0.115000,0.100000,0.105000,0.105000,48052
2013-02-22,0.105000,0.105000,0.095000,0.105000,0.105000,61391
2013-02-25,0.105000,0.105000,0.105000,0.105000,0.105000,0
2013-02-26,0.105000,0.105000,0.105000,0.105000,0.105000,0
2013-02-27,0.105000,0.105000,0.105000,0.105000,0.105000,0
2013-02-28,0.100000,0.100000,0.098000,0.098000,0.098000,44674
2013-03-01,0.100000,0.100000,0.098000,0.098000,0.098000,39800
2013-03-04,0.098000,0.098000,0.098000,0.098000,0.098000,0
2013-03-05,0.098000,0.098000,0.098000,0.098000,0.098000,0
2013-03-06,0.091000,0.091000,0.089000,0.089000,0.089000,97861
2013-03-07,0.089000,0.089000,0.089000,0.089000,0.089000,0
2013-03-08,0.089000,0.089000,0.089000,0.089000,0.089000,11250
2013-03-11,0.088000,0.088000,0.088000,0.088000,0.088000,28100
2013-03-12,0.087000,0.087000,0.080000,0.080000,0.080000,37015
2013-03-13,0.070000,0.070000,0.060000,0.061000,0.061000,419177
2013-03-14,0.080000,0.080000,0.079000,0.080000,0.080000,56575
2013-03-15,0.080000,0.080000,0.080000,0.080000,0.080000,0
2013-03-18,0.080000,0.080000,0.077000,0.077000,0.077000,10001
2013-03-19,0.080000,0.080000,0.080000,0.080000,0.080000,98125
2013-03-20,0.080000,0.080000,0.080000,0.080000,0.080000,6250
2013-03-21,0.080000,0.080000,0.080000,0.080000,0.080000,0
2013-03-22,0.080000,0.080000,0.080000,0.080000,0.080000,0
2013-03-25,0.080000,0.080000,0.080000,0.080000,0.080000,0
2013-03-26,0.078000,0.078000,0.076000,0.076000,0.076000,14375
2013-03-27,0.076000,0.076000,0.076000,0.076000,0.076000,0
2013-03-28,0.076000,0.076000,0.076000,0.076000,0.076000,0
2013-04-02,0.076000,0.076000,0.076000,0.076000,0.076000,60000
2013-04-03,0.070000,0.070000,0.070000,0.070000,0.070000,20000
2013-04-04,0.070000,0.070000,0.070000,0.070000,0.070000,0
2013-04-05,0.069000,0.069000,0.069000,0.069000,0.069000,30000
2013-04-08,0.069000,0.069000,0.069000,0.069000,0.069000,0
2013-04-09,0.069000,0.069000,0.069000,0.069000,0.069000,0
2013-04-10,0.069000,0.069000,0.069000,0.069000,0.069000,0
2013-04-11,0.069000,0.069000,0.069000,0.069000,0.069000,0
2013-04-12,0.061000,0.061000,0.061000,0.061000,0.061000,8000
2013-04-15,0.061000,0.061000,0.061000,0.061000,0.061000,0
2013-04-16,0.061000,0.061000,0.061000,0.061000,0.061000,0
2013-04-17,0.061000,0.061000,0.061000,0.061000,0.061000,0
2013-04-18,0.061000,0.061000,0.061000,0.061000,0.061000,0
2013-04-19,0.055000,0.055000,0.055000,0.055000,0.055000,100000
2013-04-22,0.055000,0.055000,0.055000,0.055000,0.055000,0
2013-04-23,0.044000,0.044000,0.044000,0.044000,0.044000,155765
2013-04-24,0.041000,0.041000,0.041000,0.041000,0.041000,10000
2013-04-26,0.041000,0.041000,0.041000,0.041000,0.041000,0
2013-04-29,0.041000,0.041000,0.041000,0.041000,0.041000,0
2013-04-30,0.041000,0.041000,0.041000,0.041000,0.041000,0
2013-05-01,0.042000,0.042000,0.042000,0.042000,0.042000,13000
2013-05-02,0.043000,0.043000,0.043000,0.043000,0.043000,12100
2013-05-03,0.043000,0.043000,0.040000,0.040000,0.040000,393445
2013-05-06,0.040000,0.040000,0.040000,0.040000,0.040000,0
2013-05-07,0.040000,0.040000,0.040000,0.040000,0.040000,45000
2013-05-08,0.040000,0.040000,0.040000,0.040000,0.040000,34000
2013-05-09,0.040000,0.040000,0.040000,0.040000,0.040000,50000
2013-05-10,0.040000,0.040000,0.040000,0.040000,0.040000,0
2013-05-13,0.040000,0.040000,0.040000,0.040000,0.040000,0
2013-05-14,0.039000,0.040000,0.039000,0.040000,0.040000,79000
2013-05-15,0.040000,0.040000,0.040000,0.040000,0.040000,0
2013-05-16,0.040000,0.040000,0.033000,0.033000,0.033000,24245
2013-05-17,0.033000,0.033000,0.033000,0.033000,0.033000,0
2013-05-20,0.033000,0.033000,0.033000,0.033000,0.033000,0
2013-05-21,0.033000,0.033000,0.033000,0.033000,0.033000,0
2013-05-22,0.036000,0.040000,0.036000,0.040000,0.040000,18056
2013-05-23,0.040000,0.040000,0.040000,0.040000,0.040000,0
2013-05-24,0.040000,0.040000,0.040000,0.040000,0.040000,0
2013-05-27,0.040000,0.040000,0.040000,0.040000,0.040000,0
2013-05-28,0.045000,0.045000,0.045000,0.045000,0.045000,25000
2013-05-29,0.044000,0.045000,0.044000,0.045000,0.045000,3022520
2013-05-30,0.045000,0.045000,0.045000,0.045000,0.045000,0
2013-05-31,0.037000,0.037000,0.037000,0.037000,0.037000,100000
2013-06-03,0.037000,0.037000,0.037000,0.037000,0.037000,0
2013-06-04,0.037000,0.037000,0.037000,0.037000,0.037000,0
2013-06-05,0.037000,0.037000,0.037000,0.037000,0.037000,0
2013-06-06,0.037000,0.037000,0.037000,0.037000,0.037000,0
2013-06-07,0.036000,0.036000,0.036000,0.036000,0.036000,160000
2013-06-11,0.036000,0.036000,0.036000,0.036000,0.036000,0
2013-06-12,0.036000,0.036000,0.036000,0.036000,0.036000,0
2013-06-13,0.036000,0.036000,0.036000,0.036000,0.036000,0
2013-06-14,0.036000,0.036000,0.036000,0.036000,0.036000,0
2013-06-17,0.036000,0.036000,0.036000,0.036000,0.036000,0
2013-06-18,0.038000,0.038000,0.038000,0.038000,0.038000,80000
